local_authority,brownfield_register_url,updated
local-authority-eng:ASH,https://www.ashfield.gov.uk/media/3811/ashfield-bflr.csv,https://www.ashfield.gov.uk/media/3811/ashfield-blfr.csv
local-authority-eng:BAE,http://data.bassetlaw.gov.uk/media/751005/BrownfieldLandRegister2017.csv,https://data.bassetlaw.gov.uk/media/5183/brownfieldlandregister2017.csv
local-authority-eng:BAI,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7800&p=0,https://www.basildon.gov.uk/media/8751/Basildon-Council-Brownfield-Land-Register-Part-1-2018/CSV/Basildon_Council_-_Brownfield_Land_Register_Part_1_2018.csv?m=636790131951200000
local-authority-eng:BAN,https://www.basingstoke.gov.uk/content/page/55024/Brownfield%20Land%20Register.csv,https://www.basingstoke.gov.uk/content/page/55024/Basingstoke%20and%20Deane%20Brownfield%20Land%20Register%20May%202019.csv
local-authority-eng:BDF,https://www.bedford.gov.uk/environment_and_planning/planning_town_and_country/planning_policy__its_purpose/idoc.ashx?docid=a72bd551-72ae-4c1f-ab27-eee73f3c52ae&version=-1,https://bbcdevwebfiles.blob.core.windows.net/webfiles/Planning%20and%20Building/Bedford%20brownfield%20register%2020181220.xlsx
local-authority-eng:BLA,http://www.blaby.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=14453,https://www.blaby.gov.uk/media/1757/blaby-district-brownfield-land-register-2018.csv
local-authority-eng:BMH,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/bournemouth-brownfieldregister-2017-12-31-rev1.csv.csv,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/2018Register.csv
local-authority-eng:BOT,http://www.boston.gov.uk/CHttpHandler.ashx?id=22192&p=0,http://www.mybostonuk.com/wp-content/uploads/2019/04/Brownfield-Land-Register.csv
local-authority-eng:BRA,https://www.braintree.gov.uk/download/downloads/id/7439/bdc_brownfield_land_register_2017.csv,http://www.braintree.gov.uk/download/downloads/id/8194/braintree_district_council_brownfield_land_register_2018.csv
local-authority-eng:BUN,https://www.burnley.gov.uk/sites/default/files/burnley_brownfieldregister_2018-02-28_rev1_0.csv,https://www.burnley.gov.uk/sites/default/files/Burnley%27s%20Brownfield%20Land%20Register%2027-02-19.csv
local-authority-eng:CAB,https://www.cambridge.gov.uk/sites/default/files/brownfield-land-register.csv,
local-authority-eng:CHC,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/pdfs/brownfield-land-registers/christchurch-brownfield-register-2017.12.19-rev1-excel.csv,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx
local-authority-eng:CHN,http://www.chiltern.gov.uk/media/11738/Chiltern-Brownfield-Register-Part-1/CSV/Chiltern_Brownfield_Register_-_Part_1.csv,https://www.chiltern.gov.uk/media/12651/Chiltern-Brownfield-Land-Register-Part-1/xls/Chiltern_Brownfield_Register_-_Part_1.xlsx?m=636800581365870000
local-authority-eng:CHS,https://www.chesterfield.gov.uk/media/562918/cbc_brownfield_register.csv,
local-authority-eng:COP,https://www.copeland.gov.uk/sites/default/files/attachments/copeland_brownfield_register.csv,
local-authority-eng:DOV,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register-csv.csv,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Dover-Brownfield-Register-2018.csv
local-authority-eng:DUD,http://www.dudley.gov.uk/EasysiteWeb/getresource.axd?AssetID=290865&type=full&servicetype=Attachment,https://www.dudley.gov.uk/media/6155/dudley_brownfieldregister_2017-12-21_rev1.csv
local-authority-eng:EDO,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/pdfs/brownfield-land-registers/east-dorset-brownfield-register-2017.12.19-rev1-excel.csv,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/pdfs/brownfield-land-registers/east-dorset-brownfield-register-2017.12.19-rev1-excel.csv
local-authority-eng:EHA,https://www.easthants.gov.uk/brownfield-register-2017-part-1-csv-17-kb,https://www.easthants.gov.uk/sites/default/files/documents/Brownfield%20register%202019%20Part%201.csv
local-authority-eng:ENF,https://new.enfield.gov.uk/services/planning/planning-policy/local-plan/planning-policy-information-enfield-blr-part-1.xlsx,https://new.enfield.gov.uk/services/planning/local-plan/planning-policy-information-enfield-blr-part-1.xlsx
local-authority-eng:HAS,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/hastings_brownfieldregister_2017-12-15_rev1.csv,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/hastings_brownfieldregister_2018-12-17_rev1.csv
local-authority-eng:HIL,https://www.hillingdon.gov.uk/media/38639/CSV-file/xls/hillingdon_brownfieldregister_2017-12-31_rev1.csv,https://archive.hillingdon.gov.uk/media/38639/CSV-file/xls/hillingdon_brownfieldregister_2017-12-31_rev1.csv
local-authority-eng:HNS,http://data.hounslow.gov.uk/download/planning/brownfield-land/brownfield-register-2017-12-22/CSV?version=16/07/2018,https://data.hounslow.gov.uk/Download/planning/brownfield-land/brownfield-register-2017-12-22/CSV?version=18/06/2019
local-authority-eng:KIR,http://www.kirklees.gov.uk/beta/planning-policy/pdf/brownfield-land-register-2017.csv,https://www.kirklees.gov.uk/beta/planning-policy/pdf/brownfield-land-register.csv
local-authority-eng:LEW,https://www.lewisham.gov.uk/myservices/planning/policy/Documents/BrownfieldLandRegister.csv,https://lewisham.gov.uk/-/media/files/imported/brownfieldlandregister-1.ashx
local-authority-eng:LIF,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield%20District%20Council%20Brownfield%20Land%20Register/Brownfield%20Land%20Register%202017.csv,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield-District-Council-Brownfield-Land/Lichfield-District-Council-Brownfield-Land-Register-2018.csv
local-authority-eng:LIV,https://liverpool.gov.uk/media/1356598/blr-lpool-part1-schedule-mandatorycols-12-12-17.csv,
local-authority-eng:LND,http://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2017-11-16_rev0.csv,http://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2018-11-28_update.csv
local-authority-eng:MAI,http://www.maidstone.gov.uk/__data/assets/file/0009/163476/Brownfield-Land-Register-Part-1-2017.csv,
local-authority-eng:MAN,http://www.manchester.gov.uk/download/downloads/id/25609/2017_manchester_brownfield_register.csv,http://www.manchester.gov.uk/download/downloads/id/26553/2018_manchester_brownfield_land_register.csv
local-authority-eng:MEL,https://anyfile.255bits.com/wix/download?id=2035f46e190b9f1b4fa9180991d28a90,
local-authority-eng:MEN,http://www.mendip.gov.uk/CHttpHandler.ashx?id=17256&p=0,https://www.mendip.gov.uk/media/17256/mendip-brownfieldregister-2017-12-10-rev1/CSV/mendip_brownfieldregister_2018-11-20_rev1.csv?m=636796831846800000
local-authority-eng:NDE,http://www.northdevon.gov.uk/media/378118/brownfield-land-register-december-2017.csv,https://www.northdevon.gov.uk/media/379152/brownfield-land-register-december-2018.xlsx
local-authority-eng:NEL,https://www.nelincs.gov.uk/wp-content/uploads/2017/11/20171208-BrownfieldLandRegister-PublishedDec2017.csv,https://www.nelincs.gov.uk/wp-content/uploads/2019/01/NEL-Brownfield-Register-2018.csv
local-authority-eng:NTY,http://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/northtyneside_brownfieldregister_2017-12-31_rev1.csv,http://northtyneside.limehouse.co.uk/file/5240299
local-authority-eng:NWM,https://www.newham.gov.uk/Documents/Environment%20and%20planning/Newham%20Brownfield%20Register.csv,https://www.newham.gov.uk/Documents/Environment%20and%20planning/NewhamBrownfieldRegister.csv
local-authority-eng:OAD,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_part_1_december_2017_update/Government%20Template%202016.2017%20%28complete%29.xlsm,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_part_1_2018/Brownfield%20Land%20Register%20%28Part%201%29%20%282018%29.xlsm
